2024/09/01 10:46:31.73 j.u.u.Main                     INFO  [main                                              ] - Application Start.
2024/09/01 10:46:31.76 j.u.u.Main                     INFO  [main                                              ] - Setting develop environment.
2024/09/01 10:46:31.76 j.u.u.Main                     INFO  [main                                              ] - Using develop environment.
2024/09/01 10:46:31.80 j.u.u.Main                     DEBUG [JavaFX Application Thread                         ] - debug test
2024/09/01 10:46:31.80 j.u.u.Main                     INFO  [JavaFX Application Thread                         ] - Loading FXML.
2024/09/01 10:46:33.13 j.u.u.Main                     INFO  [JavaFX Application Thread                         ] - Waiting start.
2024/09/01 10:46:35.62 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@25cf8e7e, view=ImageView@3c8cda84[styleClass=image-view], contactable=false)
2024/09/01 10:47:40.90 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@dc9bd1d, view=ImageView@7fe21973[styleClass=image-view], contactable=false)
2024/09/01 10:47:40.94 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@793f6aef, view=ImageView@36db32d6[styleClass=image-view], contactable=false)
2024/09/01 10:47:40.99 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@c7f8bc1, view=ImageView@7c2e45e3[styleClass=image-view], contactable=false)
2024/09/01 10:47:41.04 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@1769d7be, view=ImageView@15609802[styleClass=image-view], contactable=false)
2024/09/01 10:47:41.09 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@38419a19, view=ImageView@7a439b60[styleClass=image-view], contactable=false)
2024/09/01 10:47:41.14 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@45c5071f, view=ImageView@3717d728[styleClass=image-view], contactable=false)
2024/09/01 10:47:41.19 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@34c3b046, view=ImageView@24c02171[styleClass=image-view], contactable=false)
2024/09/01 10:47:41.24 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@1d20c1a5, view=ImageView@73d0a4b6[styleClass=image-view], contactable=false)
2024/09/01 10:47:41.29 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@36bf0d4c, view=ImageView@4afc014[styleClass=image-view], contactable=false)
2024/09/01 10:47:41.34 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@5cc4a374, view=ImageView@12a13beb[styleClass=image-view], contactable=false)
2024/09/01 10:47:41.38 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@55e0b0c2, view=ImageView@5ad2ecec[styleClass=image-view], contactable=false)
2024/09/01 10:47:41.42 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@364d739, view=ImageView@1eb8d4a3[styleClass=image-view], contactable=false)
2024/09/01 10:47:41.47 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@1ac364ee, view=ImageView@150cd82[styleClass=image-view], contactable=false)
2024/09/01 10:47:41.51 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@2b8f3850, view=ImageView@1db63c58[styleClass=image-view], contactable=false)
2024/09/01 10:47:41.56 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@3a67f178, view=ImageView@1f571965[styleClass=image-view], contactable=false)
2024/09/01 10:47:41.60 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@29982e43, view=ImageView@2bf80a8e[styleClass=image-view], contactable=false)
2024/09/01 10:47:41.63 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@10357de9, view=ImageView@5764620[styleClass=image-view], contactable=false)
2024/09/01 10:47:41.68 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@39bd1bb0, view=ImageView@60e2c95d[styleClass=image-view], contactable=false)
2024/09/01 10:47:41.73 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@62be9886, view=ImageView@41e03b4[styleClass=image-view], contactable=false)
2024/09/01 10:47:41.78 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@194959ac, view=ImageView@356322cf[styleClass=image-view], contactable=false)
2024/09/01 10:47:41.83 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@1ba32274, view=ImageView@5a4237c6[styleClass=image-view], contactable=false)
2024/09/01 10:47:41.88 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@2e810319, view=ImageView@15deac87[styleClass=image-view], contactable=false)
2024/09/01 10:47:41.92 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@5017d9e9, view=ImageView@2050107e[styleClass=image-view], contactable=false)
2024/09/01 10:47:41.97 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@1e9f4e45, view=ImageView@33cd8f[styleClass=image-view], contactable=false)
2024/09/01 10:47:42.02 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@d897202, view=ImageView@7125168b[styleClass=image-view], contactable=false)
2024/09/01 10:47:42.07 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@3b448c45, view=ImageView@47257536[styleClass=image-view], contactable=false)
2024/09/01 10:47:42.12 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@3093bc11, view=ImageView@58758874[styleClass=image-view], contactable=false)
2024/09/01 10:47:42.16 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@368c8962, view=ImageView@18cc6037[styleClass=image-view], contactable=false)
2024/09/01 10:47:42.19 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@3806b9d5, view=ImageView@5f4f68cf[styleClass=image-view], contactable=false)
2024/09/01 10:47:42.23 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@c71583, view=ImageView@58bfb0e5[styleClass=image-view], contactable=false)
2024/09/01 10:47:42.27 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@642d5036, view=ImageView@125015c2[styleClass=image-view], contactable=false)
2024/09/01 10:47:42.32 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@468bfd7, view=ImageView@3c44b80d[styleClass=image-view], contactable=false)
2024/09/01 10:47:42.36 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@4556dd44, view=ImageView@631e43bc[styleClass=image-view], contactable=false)
2024/09/01 10:47:42.42 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@34285fcf, view=ImageView@503d5f1c[styleClass=image-view], contactable=false)
2024/09/01 10:47:42.47 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@232eb88b, view=ImageView@52428b0c[styleClass=image-view], contactable=false)
2024/09/01 10:47:42.52 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@fee6a94, view=ImageView@11f9cfd9[styleClass=image-view], contactable=false)
2024/09/01 10:47:42.57 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@158d590, view=ImageView@374e56d9[styleClass=image-view], contactable=false)
2024/09/01 10:47:42.62 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@52432a2c, view=ImageView@748e19c7[styleClass=image-view], contactable=false)
2024/09/01 10:47:42.67 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@27fec122, view=ImageView@7aeeb633[styleClass=image-view], contactable=false)
2024/09/01 10:47:42.72 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@60a0aecd, view=ImageView@6c05cee4[styleClass=image-view], contactable=false)
2024/09/01 10:47:42.76 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@14fcc45f, view=ImageView@427c3b7b[styleClass=image-view], contactable=false)
2024/09/01 10:47:42.80 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@65308f4c, view=ImageView@748125aa[styleClass=image-view], contactable=false)
2024/09/01 10:47:42.84 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@50a7ca2f, view=ImageView@37d3ed1a[styleClass=image-view], contactable=false)
2024/09/01 10:47:42.88 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@32a4cc94, view=ImageView@2e7e5985[styleClass=image-view], contactable=false)
2024/09/01 10:47:42.91 j.u.u.m.AppStartManager        INFO  [JavaFX Application Thread                         ] - GameMap build success.
2024/09/01 10:47:43.32 j.u.u.m.AppStartManager        INFO  [JavaFX Application Thread                         ] - Draw success.
2024/09/01 10:47:57.53 j.u.u.Main                     INFO  [main                                              ] - Application Exit.
